测试用例标识,用例类型,覆盖范围,前置条件,输入流,预期结果
CG_Sys_Testcase_User_01,功能测试用例,注册与登录,无,输入用户名和密码->点击注册->点击登录,成功注册并登录->跳转至主页
CG_Sys_Testcase_User_02,功能测试用例,简历与个人信息管理,已登录账户,编辑用户名->个人简介->学校年级->技能描述,信息更新成功
CG_Sys_Testcase_Group_01,功能测试用例,管理我的小组,已登录账户,点击创建组->填写组信息->提交,小组创建成功
CG_Sys_Testcase_Group_02,功能测试用例,组员管理,已登录账户且有组长权限的小组,点击踢出组员->确认,组员被成功踢出
CG_Sys_Testcase_Group_03,功能测试用例,我的小组管理-编辑与解散,已登录账户且有组长权限的小组,编辑组信息->提交 或 解散小组->确认,组信息更新->小组解散成功
CG_Sys_Testcase_Group_04,功能测试用例,找组,已登录账户,搜索小组->筛选条件->点击搜索,展示符合条件的小组
CG_Sys_Testcase_Task_01,功能测试用例,任务发布与分配,已登录账户且有组长权限的小组,创建任务->填写任务信息->分配负责人,任务创建成功->负责人分配成功
CG_Sys_Testcase_Task_02,功能测试用例,个人任务管理-查看与提交管理,已登录账户且有负责的任务,创建提交->编辑提交内容->更新,提交创建和更新成功
CG_Sys_Testcase_Task_03,功能测试用例,个人任务管理-下载他人提交的文件,已登录账户且小组中有文件提交,点击下载文件,成功下载文件
CG_Sys_Testcase_Task_04,功能测试用例,个人任务管理-提交的删除,已登录账户且有负责的任务,点击删除提交->确认,提交删除成功
CG_Sys_Testcase_Notification_01,功能测试用例,通知管理,已登录账户且有未读通知,筛选未读通知->标记全部为已读,所有通知标记为已读
CG_Sys_Testcase_Notification_02,功能测试用例,通知详情-查看一般通知,已登录账户且有一般通知,点击通知->查看详情,显示通知详细内容
CG_Sys_Testcase_Notification_03,功能测试用例,通知详情-同意申请,已登录账户且有申请通知,点击申请通知->同意,申请通过->申请人加入小组
CG_Sys_Testcase_Notification_04,功能测试用例,通知详情-拒绝申请,已登录账户且有申请通知,点击申请通知->拒绝,申请被拒绝
CG_Sys_Testcase_Flow_001,业务流测试用例,小组成型流程,已登录账户,创建小组->模拟三个申请->查看通知->同意三次申请,小组成功加入三个新成员
CG_Sys_Testcase_Flow_002,业务流测试用例,任务与提交流程,已登录账户且有组长权限的小组,创建两个任务->分配给自己->在其中一个任务提交两次文件,任务和提交创建成功
CG_Sys_Testcase_Erd_01,数据测试用例,超出小组容量的申请同意,已登录账户且小组已满,点击申请通知->尝试同意,提示小组已满->申请处理失败